student_application_id,status,transaction_id,mc_gross,received_at,invoice,currency,params
1,Pending,5211241529,50,nil,25874569,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
2,Completed,5211241530,25,nil,25900058,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
3,Completed,5211241531,10,nil,25925547,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
4,Processed,5211241532,5,nil,25951036,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
5,In-Progress,5211241533,3,nil,25976525,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
6,Denied,5211241534,5,nil,26002014,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
7,Expiered,5211241535,10,nil,26027503,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
8,Failed,5211241536,15,nil,26052992,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
9,Pending,5211241537,20,nil,26078481,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
10,Completed,5211241538,25,nil,26103970,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
11,Completed,5211241539,30,nil,26129459,USD,"--- !map:ActiveSupport::HashWithIndifferentAccess \ntest_ipn: \""1\""\npayment_type: echeck\npayment_date: 07:29:52 Nov 24, 2012 PST\npayment_status: Pending\npending_reason: echeck\naddress_status: confirmed\npayer_status: verified\nfirst_name: John\nlast_name: Smith\npayer_email: buyer@paypalsandbox.com\npayer_id: TESTBUYERID01\naddress_name: John Smith\naddress_country: United States\naddress_country_code: US\naddress_zip: \""95131\""\naddress_state: CA\naddress_city: San Jose\naddress_street: 123, any street\nbusiness: seller@paypalsandbox.com\nreceiver_email: seller@paypalsandbox.com\nreceiver_id: TESTSELLERID1\nresidence_country: US\nitem_name: gilberto\nitem_number: AK-1234\nquantity: \""1\""\nshipping: \""3.04\""\ntax: \""2.02\""\nmc_currency: USD\nmc_fee: \""0.44\""\nmc_gross: \""200\""\ntxn_type: web_accept\ntxn_id: \""5211241529\""\nnotify_version: \""2.1\""\ncustom: xyz123\ninvoice: abc1234\ncharset: windows-1252\nverify_sign: A3U7NOTi5cc6VneLyt5cQ5OV8nF3Ae7OSbINhQVpFK2MRtXxzpeLjqb7\naction: ipn\ncontroller: donations\n"
